,Name,Sex,Date of Birth,Age,Height (inches),Weight (lb),Class Year,Major,School,"Grade in ""Intro to python""","Grade in ""Intro to Stats""",Final Data Science Grade
9279,Christopher Miller,2,1995-08-27,28,65.0,115,2017,University of Illinois,Computer Science & Engineering,B,"""78.2""",75.9
9280,Kim Nichols,2,1992-01-24,31,68.0,145,2014,UCLA,Computer Science & Engineering,B,"""76.7""",81.4
9281,Phyllis Villarreal,1,2003-08-27,20,61.0,115,2025,Michigan State University,Computer Science & Engineering,B,"""88.1""",75.1
9282,Amber Kelly,2,2003-02-14,20,64.0,120,2025,Brown University,Computer Science & Engineering,D,"""92.9""",83.2
9283,Dylan Hunter,0,2001-12-16,22,,185,2023,University of Nebraska,Math,,"""82.3""",97.9
9284,Bryan Sullivan,2,1994-08-08,29,65.0,140,2016,Purdue,Computer Science & Engineering,B,"""85.1""",73.2
9285,Paul Baldwin,0,2003-05-06,20,72.0,165,2025,USC,Computer Science & Engineering,B,"""75.3""",69.1
9286,Nancy Jensen,1,1996-04-08,27,64.0,105,2018,University of Nebraska,Theology,,"""77.5""",94.3
9287,James Lewis,0,1996-12-09,27,65.0,160,2018,Duke University,Computer Science & Engineering,B,"""85.8""",85.2
9288,Jorge Richards,0,1994-06-29,29,69.0,155,2016,Stanford University,Computer Science & Engineering,A,"""94.1""",77.8
9289,Sean Vega,0,1999-07-11,24,69.0,160,2021,University of Michigan (boo),Math,,"""92.1""",83.0
9290,Robert Walker,0,1993-01-21,30,70.0,145,2015,Purdue,Computer Science & Engineering,A,"""87.9""",100.0
9291,Brandon Murray,0,1996-03-28,27,69.0,175,2018,MIT,Theology,,"""87.3""",70.2
9292,Thomas Smith,2,2002-04-23,21,69.0,160,2024,Marquette University,Computer Science & Engineering,Pass,"""85.2""",87.9
9293,Suzanne Nichols,2,1997-01-05,26,67.0,160,2019,Marquette University,Computer Science & Engineering,Pass,"""100""",91.0
9294,Anthony Brooks,0,1994-11-04,29,69.0,165,2016,Brown University,Electrical Engineering,,"""86.4""",79.1
9295,Amy Warner,2,1996-01-02,27,165.0,140,2018,Marquette University,Theology,Pass,"""89.3""",91.9
9296,Karen Oliver,1,1992-10-22,31,62.0,135,2014,Marquette University,Math,,"""80.1""",77.0
9297,Shelly Smith,1,1992-04-11,31,67.0,140,2014,Brown University,Computer Science & Engineering,B,"""82.4""",87.5
9298,Jonathon Hanson,0,1998-10-27,25,72.0,160,2020,St. Joseph's University,Computer Science & Engineering,Pass,"""81.5""",81.4
9299,Lisa Brown,1,1996-03-29,27,66.0,125,2018,Stanford University,Computer Science & Engineering,D,"""84.8""",82.2
9300,Michael Mcdaniel,0,1996-01-16,27,68.0,140,2018,University of Nebraska,ACMS,Pass,"""80.2""",83.4
9301,Rachel Blake,1,2002-12-16,21,66.0,130,2024,Harvard University,Computer Science & Engineering,D,"""75.9""",82.0
9302,Kimberly Johnson,2,2002-04-30,21,68.0,155,2024,UMBC,Computer Science & Engineering,Pass,"""85.6""",74.5
9303,Amanda Mitchell,1,1994-09-06,29,62.0,125,2016,St. Joseph's University,Computer Science & Engineering,Fail,"""81.6""",93.3
9304,Kathryn Mack,1,2000-04-17,23,65.0,115,2022,Duke University,Computer Science & Engineering,F,"""85.3""",89.6
9305,Morgan King,1,1997-12-03,26,62.0,130,2019,Purdue,Computer Science & Engineering,B,"""87.2""",79.5
9306,Daniel Smith,2,2001-09-13,22,167.0,140,2023,Harvard University,Computer Science & Engineering,C,"""90.8""",100.0
9307,Casey Williams,0,1996-10-27,27,69.0,150,2018,USC,Computer Science & Engineering,B,"""100""",81.8
9308,Richard Larson,0,1996-01-18,27,69.0,150,2018,University of Michigan (boo),Computer Science & Engineering,B,"""78.5""",85.9
9309,Robert Johnson,0,1995-06-29,28,66.0,165,2017,University of Illinois,Theology,,"""91.4""",90.0
9310,Alisha Knight,1,1998-09-24,25,62.0,125,2020,UMBC,Computer Science & Engineering,Pass,"""81.5""",82.1
9311,Sally Frank,1,1995-05-22,28,66.0,110,2017,University of Notre Dame,Computer Science & Engineering,A,"""95.6""",94.4
9312,Michael Bryant,2,1995-04-05,28,68.0,165,2017,Marquette University,Electrical Engineering,Pass,"""80.8""",91.7
9313,Nicholas Barr,0,1993-12-12,30,68.0,155,2015,UCLA,Computer Science & Engineering,B,"""88.6""",74.8
9314,Katherine Moses,2,2002-11-28,21,65.0,130,2024,Holy Cross College,Math,,"""85.1""",73.6
9315,Sergio Jennings,0,2003-08-30,20,,165,2025,St. Joseph's University,Math,,"""86.0""",85.1
9316,Rebecca Romero,1,1995-04-27,28,69.0,130,2017,University of Wisconsin,Computer Science & Engineering,B,"""88.4""",79.5
9317,Kevin Hudson,0,2002-01-08,21,69.0,175,2024,Marquette University,Computer Science & Engineering,Pass,"""93.5""",80.5
9318,James Hurley,2,1996-11-15,27,157.0,125,2018,University of Florida,Computer Science & Engineering,B,"""77.9""",87.6
9319,Tina Carney,1,2002-08-01,21,62.0,130,2024,University of Illinois,Computer Science & Engineering,B,"""84.5""",90.5
9320,Russell Cherry,0,1992-09-16,31,69.0,170,2014,USC,Computer Science & Engineering,C,"""74.7""",70.6
9321,Gary Cole,2,1999-01-22,24,66.0,140,2021,Duke University,Computer Science & Engineering,B,"""79.5""",92.0
9322,Catherine Crawford,2,2003-08-30,20,61.0,130,2025,Stanford University,Computer Science & Engineering,B,"""90.6""",83.9
9323,Dalton Pearson,2,1992-08-10,31,68.0,155,2014,Brown University,Computer Science & Engineering,C,"""82.7""",79.7
9324,Timothy Neal,0,2002-03-17,21,68.0,145,2024,University of Wisconsin,Computer Science & Engineering,D,"""90.9""",93.4
9325,Andre Harmon,0,1995-08-27,28,72.0,155,2017,UMBC,Computer Science & Engineering,Fail,"""92.7""",91.3
9326,Alan Ibarra,2,1999-01-12,24,66.0,165,2021,Stanford University,Computer Science & Engineering,A,"""82.5""",80.4
9327,Natalie Howard,2,1998-08-13,25,66.0,140,2020,Holy Cross College,Computer Science & Engineering,B,"""91.5""",85.9
9328,Michael Moore,0,1996-01-23,27,66.0,150,2018,Duke University,Computer Science & Engineering,B,"""82.7""",80.9
9329,Tina Patrick,2,2003-10-08,20,70.0,150,2025,University of Illinois,Computer Science & Engineering,A,"""76.7""",79.3
9330,Candice Acosta,1,1998-10-29,25,64.0,115,2020,Marquette University,Computer Science & Engineering,Pass,"""91.2""",80.3
9331,Tina Allen,1,2003-08-26,20,61.0,130,2025,Brown University,Computer Science & Engineering,B,"""78.6""",74.4
9332,Barbara Garcia,2,1993-12-03,30,64.0,155,2015,University of Illinois,Math,,"""87.5""",83.0
9333,Brittany Castillo,1,1997-05-06,26,64.0,115,2019,Holy Cross College,Computer Science & Engineering,F,"""89.1""",89.8
9334,Matthew Diaz,0,2000-10-16,23,,155,2022,University of Illinois,Computer Science & Engineering,B,"""89.5""",77.4
9335,Christopher Alexander,0,2001-11-08,22,62.0,155,2023,Purdue,ACMS,,"""80.8""",87.0
9336,Michelle Jackson,2,1993-12-13,30,70.0,160,2015,MIT,Computer Science & Engineering,C,"""87.4""",89.4
9337,John Fry,0,1997-04-30,26,69.0,160,2019,UMBC,Computer Science & Engineering,Pass,"""70.3""",76.9
9338,Ashley Matthews,2,1993-11-14,30,71.0,170,2015,University of Notre Dame,Electrical Engineering,,"""81.1""",82.0
9339,Carla Anderson,2,1995-10-25,28,65.0,140,2017,St. Joseph's University,Computer Science & Engineering,Pass,"""89.9""",98.9
9340,Christine Payne,1,2003-12-30,20,65.0,110,2025,University of Wisconsin,Math,,"""86.0""",81.3
9341,Jeffrey Watts,2,1996-07-09,27,68.0,170,2018,Harvard University,ACMS,,"""99.4""",85.5
9342,Carol Arnold,2,2002-11-04,21,65.0,140,2024,Duke University,Computer Science & Engineering,F,"""74.9""",87.3
9343,Kelly Henderson,1,2000-01-11,23,66.0,125,2022,St. Joseph's University,Theology,,"""78.4""",82.3
9344,James Rogers,0,1999-11-04,24,72.0,170,2021,University of Nebraska,Computer Science & Engineering,Pass,"""84.1""",89.9
9345,Mary Henry,1,2000-09-05,23,61.0,125,2022,University of Nebraska,Computer Science & Engineering,Pass,"""72.2""",82.7
9346,Paul Baker,0,1995-02-21,28,66.0,155,2017,St. Joseph's University,Computer Science & Engineering,Fail,"""90.9""",81.7
9347,Melissa Mora,1,1997-03-02,26,57.0,120,2019,University of Florida,Computer Science & Engineering,D,"""87.7""",84.2
9348,Evan Davies,0,1993-05-23,30,69.0,150,2015,Holy Cross College,ACMS,,"""84.2""",81.6
9349,Curtis Garcia,2,1997-07-30,26,70.0,170,2019,Harvard University,Computer Science & Engineering,A,"""74.1""",82.8
9350,Holly Bradley,2,1998-06-14,25,69.0,165,2020,University of Florida,Theology,,"""69.6""",75.3
9351,Eric Strong,0,1995-12-09,28,66.0,160,2017,Brown University,Electrical Engineering,,"""83.5""",87.6
9352,Jason Mitchell,0,1993-10-08,30,69.0,145,2015,Harvard University,Computer Science & Engineering,C,"""94.9""",78.5
9353,Cassidy Hunter,2,2002-04-14,21,182.0,175,2024,Brown University,Computer Science & Engineering,A,"""88.6""",81.4
9354,Cindy Chan,1,1996-11-16,27,65.0,120,2018,University of Wisconsin,Math,,"""83.1""",96.2
9355,Bradley Williams,0,1993-06-02,30,70.0,165,2015,UCLA,Theology,C,"""74.8""",83.9
9356,Aaron Wells,0,1992-06-05,31,68.0,170,2014,Purdue,Computer Science & Engineering,B,"""84.0""",83.3
9357,Anna Daniels,2,1992-07-20,31,62.0,120,2014,Harvard University,Electrical Engineering,,"""94.7""",85.4
9358,Erin Mitchell,1,2001-12-15,22,62.0,130,2023,Marquette University,Math,Fail,"""86.2""",91.0
9359,Cassidy Rodriguez,2,1993-05-29,30,177.0,145,2015,Marquette University,Computer Science & Engineering,Pass,"""90.2""",87.8
9360,Elizabeth Young,1,1997-02-05,26,62.0,125,2019,Holy Cross College,Computer Science & Engineering,B,"""84.3""",87.2
9361,Carlos Keller,0,1999-05-29,24,69.0,150,2021,University of Wisconsin,Computer Science & Engineering,A,"""79.9""",87.1
9362,Tammy Simmons,1,1994-10-02,29,67.0,125,2016,University of Michigan (boo),Computer Science & Engineering,C,"""83.1""",100.0
9363,Michael Garza,2,1993-12-31,30,65.0,160,2015,University of Notre Dame,Computer Science & Engineering,F,"""83.4""",94.0
9364,Gloria Singh,2,2000-06-01,23,65.0,140,2022,University of Alabama,Computer Science & Engineering,D,"""93.4""",95.2
9365,Tamara Hart,1,1997-08-25,26,60.0,100,2019,University of Florida,Computer Science & Engineering,C,"""70.0""",88.0
9366,Robert Miller,0,1995-02-04,28,66.0,140,2017,Holy Cross College,Math,,"""83.1""",92.6
9367,James Hartman,2,1992-02-26,31,64.0,105,2014,University of Illinois,Computer Science & Engineering,A,"""85.5""",77.6
9368,Michelle Reed,1,2002-03-31,21,63.0,135,2024,Brown University,Computer Science & Engineering,D,"""89.6""",77.4
9369,Tara Davis,2,1994-05-25,29,67.0,140,2016,Michigan State University,Computer Science & Engineering,B,"""97.1""",84.3
9370,Michael Fox,0,1993-07-15,30,63.0,140,2015,Michigan State University,Computer Science & Engineering,B,"""92.8""",76.1
9371,Terry Williams,0,1995-02-28,28,72.0,175,2017,MIT,Computer Science & Engineering,C,"""87.3""",96.1
9372,Jeffrey Berry,2,1998-06-20,25,60.0,120,2020,University of Alabama,Computer Science & Engineering,C,"""93.1""",83.6
9373,Alexandra Jones,1,1993-07-01,30,64.0,130,2015,University of Nebraska,Theology,Fail,"""86.7""",80.9
9374,John Hudson,0,1995-09-26,28,69.0,175,2017,University of Illinois,ACMS,,"""77.8""",100.0
9375,Bradley Williams,0,2000-01-10,23,,170,2022,University of Michigan (boo),Math,,"""69.9""",89.0
9376,Sarah Barron,1,2001-03-01,22,69.0,140,2023,University of Notre Dame,Computer Science & Engineering,A,"""79.3""",74.3
9377,Susan David,1,1994-01-12,29,65.0,125,2016,UMBC,Computer Science & Engineering,Pass,"""85.5""",69.9
9378,John Edwards,0,1998-05-08,25,68.0,165,2020,UCLA,Computer Science & Engineering,B,"""82.6""",82.5
9379,Joseph Norton,2,1995-09-25,28,,175,2017,Holy Cross College,Computer Science & Engineering,B,"""91.9""",86.3
9380,Nicholas Nguyen,2,1998-07-23,25,154.0,105,2020,University of Florida,Computer Science & Engineering,A,"""88.8""",72.8
9381,Sean Preston,0,1997-04-18,26,68.0,155,2019,University of Nebraska,Math,,"""95.1""",87.6
9382,Matthew Robinson,0,1997-07-26,26,68.0,145,2019,University of Illinois,Theology,,"""77.4""",85.2
9383,Gregory Torres,2,2001-05-28,22,177.0,165,2023,MIT,Theology,A,"""82.7""",78.9
9384,Ronald Reese,2,1997-11-28,26,180.0,170,2019,MIT,Computer Science & Engineering,A,"""78.3""",86.4
9385,John Yang,0,1992-09-01,31,70.0,165,2014,Holy Cross College,Computer Science & Engineering,B,"""90.5""",79.9
9386,Emily Sanchez,2,2000-06-12,23,64.0,115,2022,UMBC,Computer Science & Engineering,Pass,"""88.7""",87.8
9387,Melissa Campbell,1,2003-11-29,20,65.0,125,2025,University of Illinois,Computer Science & Engineering,A,"""92.7""",94.9
9388,Daniel Williams,0,1997-09-27,26,69.0,160,2019,Purdue,ACMS,D,"""82.9""",86.0
9389,Charles Roach,0,1994-08-22,29,68.0,165,2016,Marquette University,Computer Science & Engineering,Pass,"""93.7""",100.0
9390,Carmen Bush,2,2003-10-02,20,172.0,170,2025,Purdue,Computer Science & Engineering,C,"""83.5""",98.2
9391,Sara Johnson,1,2002-05-10,21,62.0,130,2024,UCLA,Computer Science & Engineering,B,"""93.5""",84.4
9392,Keith Norman,0,2001-09-18,22,66.0,150,2023,Purdue,Computer Science & Engineering,A,"""78.7""",93.0
9393,Todd Knight,0,1998-02-09,25,68.0,150,2020,Duke University,Computer Science & Engineering,B,"""86.8""",82.6
9394,Brandy Salas,1,1999-09-22,24,63.0,115,2021,Stanford University,Computer Science & Engineering,D,"""93.8""",99.4
9395,Mary Gaines,1,1995-08-18,28,63.0,115,2017,Stanford University,Electrical Engineering,,"""93.0""",94.8
9396,Ashley Mcintosh,1,2000-08-01,23,63.0,135,2022,UCLA,Computer Science & Engineering,D,"""88.6""",87.5
9397,Christopher Gentry,0,1992-01-14,31,69.0,155,2014,University of Nebraska,Computer Science & Engineering,Pass,"""89.9""",79.7
9398,Alexandria Mason,1,1994-12-21,29,58.0,115,2016,University of Notre Dame,Computer Science & Engineering,A,"""82.1""",91.4
9399,Joshua Hensley,0,2000-10-06,23,69.0,150,2022,Michigan State University,Computer Science & Engineering,B,"""89.8""",88.9
9400,Angela Gibson,1,1997-01-15,26,69.0,140,2019,Michigan State University,Computer Science & Engineering,C,"""75.1""",97.3
9401,Daniel Reed,0,1999-08-10,24,65.0,160,2021,UMBC,Computer Science & Engineering,Pass,"""84.3""",95.7
9402,Joshua Williams,0,2000-06-14,23,68.0,155,2022,Michigan State University,Computer Science & Engineering,C,"""78.7""",80.6
9403,Vanessa Williamson,2,1995-05-23,28,167.0,145,2017,Holy Cross College,ACMS,,"""85.0""",88.1
9404,Olivia Douglas,1,1999-06-23,24,63.0,125,2021,Stanford University,ACMS,A,"""76.1""",84.1
9405,Kyle Austin,0,1992-05-28,31,68.0,155,2014,University of Nebraska,Computer Science & Engineering,Fail,"""97.4""",91.5
9406,Jorge Hodge,0,1995-08-18,28,69.0,160,2017,Duke University,Computer Science & Engineering,B,"""74.6""",89.8
9407,Kirk Williamson,2,1993-09-14,30,154.0,125,2015,Marquette University,Electrical Engineering,,"""85.9""",87.1
9408,Lauren Jones,1,1998-04-07,25,63.0,130,2020,Marquette University,Computer Science & Engineering,Pass,"""79.6""",83.3
9409,Mindy Robbins,1,2000-10-07,23,59.0,120,2022,University of Florida,Computer Science & Engineering,B,"""86.7""",89.8
9410,Alexander Chen,2,1996-03-19,27,64.0,125,2018,University of Wisconsin,Computer Science & Engineering,B,"""85.3""",80.1
9411,Brandon Wright,0,1996-01-25,27,63.0,130,2018,University of Nebraska,Theology,Fail,"""80.1""",78.1
9412,Angela Jones,1,1999-06-12,24,66.0,120,2021,Stanford University,ACMS,,"""79.0""",95.8
9413,Evan Collins,0,2000-06-14,23,69.0,150,2022,Harvard University,ACMS,,"""92.1""",86.1
9414,Crystal Martin,1,1998-10-20,25,60.0,110,2020,Stanford University,Math,,"""83.3""",82.0
9415,Debbie Jackson,1,1998-02-19,25,62.0,125,2020,USC,Computer Science & Engineering,B,"""80.1""",83.8
9416,Randall Johnson,2,1998-04-28,25,69.0,160,2020,Purdue,Theology,,"""81.6""",75.1
9417,Steven Brady,2,1992-09-06,31,182.0,155,2014,Purdue,Computer Science & Engineering,C,"""85.6""",89.8
9418,Megan Case,2,1996-10-22,27,152.0,105,2018,Duke University,Computer Science & Engineering,D,"""81.2""",79.6
9419,Kimberly Hawkins,1,1994-03-12,29,61.0,110,2016,Stanford University,Computer Science & Engineering,C,"""92.9""",88.7
9420,Lee Thomas,0,2002-08-28,21,62.0,155,2024,UCLA,Computer Science & Engineering,D,"""78.1""",90.9
9421,Sara Woods,1,1994-10-24,29,64.0,125,2016,University of Michigan (boo),Computer Science & Engineering,B,"""93.4""",90.4
9422,Nichole Allen,2,1998-11-13,25,65.0,115,2020,MIT,Computer Science & Engineering,D,"""80.9""",85.4
9423,Adam Rodriguez,0,1994-07-08,29,70.0,170,2016,University of Alabama,Computer Science & Engineering,B,"""73.2""",72.5
9424,Ashley Sosa,1,1994-09-06,29,65.0,140,2016,University of Florida,Electrical Engineering,,"""82.2""",91.8
9425,Michael Little,2,1994-04-01,29,72.0,165,2016,University of Wisconsin,Math,,"""75.4""",78.7
9426,Hannah Smith,2,2003-07-28,20,59.0,105,2025,Duke University,Electrical Engineering,,"""88.4""",84.5
9427,Lauren Le,2,2000-10-26,23,65.0,145,2022,University of Nebraska,Theology,,"""85.5""",94.5
9428,Joshua Long,0,2000-02-07,23,70.0,155,2022,University of Michigan (boo),Computer Science & Engineering,D,"""75.3""",89.7
9429,Regina Lane,2,1997-10-31,26,62.0,105,2019,UCLA,Computer Science & Engineering,C,"""72.7""",87.8
9430,Alan Miller,2,1997-10-03,26,63.0,105,2019,Harvard University,Computer Science & Engineering,A,"""83.5""",84.3
9431,Amber Robinson,2,2003-04-27,20,66.0,140,2025,University of Alabama,Theology,,"""78.5""",79.0
9432,Alan Best,0,1994-12-03,29,69.0,165,2016,MIT,Computer Science & Engineering,A,"""79.7""",80.6
9433,Amanda Jones,2,1996-07-05,27,68.0,140,2018,Stanford University,Computer Science & Engineering,B,"""84.2""",73.7
9434,George Miller,0,1995-03-17,28,65.0,155,2017,Brown University,Computer Science & Engineering,B,"""76.4""",79.6
9435,Rebecca Osborne,2,2000-07-24,23,65.0,145,2022,Harvard University,Math,A,"""75.9""",95.9
9436,Lisa Martinez,1,2002-11-17,21,62.0,115,2024,University of Illinois,Computer Science & Engineering,A,"""84.1""",84.1
9437,James Smith,0,1998-05-02,25,68.0,170,2020,University of Illinois,Computer Science & Engineering,D,"""74.6""",81.5
9438,Michaela Anderson,1,1992-04-02,31,58.0,120,2014,UMBC,Computer Science & Engineering,Pass,"""78.0""",82.0
9439,Ronald Stevens,2,2003-03-01,20,177.0,170,2025,University of Nebraska,Theology,Pass,"""100""",77.5
9440,Melanie Castro,2,1995-03-18,28,71.0,155,2017,UCLA,Computer Science & Engineering,B,"""74.4""",79.9
9441,Morgan Downs,1,1994-04-01,29,61.0,115,2016,Purdue,ACMS,C,"""83.9""",97.3
9442,James Black,2,2000-06-12,23,70.0,160,2022,Duke University,Computer Science & Engineering,B,"""89.8""",79.9
9443,Becky Ibarra,1,1998-03-05,25,64.0,105,2020,MIT,ACMS,,"""91.0""",86.5
9444,Anthony Perez,0,2003-01-09,20,71.0,180,2025,University of Florida,ACMS,A,"""84.2""",96.3
9445,Jason Fitzpatrick,2,1999-01-12,24,63.0,105,2021,University of Wisconsin,ACMS,,"""71.8""",86.4
9446,Carl Anderson,2,1998-05-15,25,65.0,145,2020,UCLA,Computer Science & Engineering,F,"""86.1""",75.3
9447,Jeffery Jackson,0,1996-04-18,27,72.0,160,2018,University of Florida,Computer Science & Engineering,C,"""89.4""",77.3
9448,Jennifer Sutton,1,1992-06-11,31,68.0,130,2014,Holy Cross College,Computer Science & Engineering,F,"""82.8""",74.2
9449,Brittney Smith,1,2001-03-25,22,63.0,105,2023,St. Joseph's University,Math,Pass,"""86.1""",72.1
9450,Zachary Jensen,0,2001-05-24,22,72.0,160,2023,MIT,Computer Science & Engineering,A,"""78.4""",89.8
9451,Susan Williams,1,1993-04-13,30,62.0,135,2015,University of Wisconsin,Theology,,"""92.7""",79.6
9452,Julie Taylor,1,1997-05-22,26,64.0,130,2019,Stanford University,Computer Science & Engineering,C,"""89.2""",75.7
9453,Jaime Henry,0,1996-07-27,27,69.0,175,2018,St. Joseph's University,Computer Science & Engineering,Pass,"""96.8""",73.6
9454,Eric Leonard,0,1992-09-02,31,67.0,140,2014,University of Notre Dame,Computer Science & Engineering,C,"""72.7""",90.8
9455,Matthew Nelson,0,1998-11-10,25,66.0,145,2020,Michigan State University,Computer Science & Engineering,C,"""82.8""",88.5
9456,Anthony Williams,0,1998-06-13,25,68.0,160,2020,MIT,Computer Science & Engineering,A,"""88.9""",81.5
9457,Victoria Jacobs,1,2000-10-22,23,62.0,130,2022,Marquette University,ACMS,Pass,"""93.6""",84.2
9458,Tony Cole,2,1994-08-21,29,68.0,170,2016,Harvard University,Math,,"""81.3""",96.8
9459,Betty Williams,1,1999-04-11,24,62.0,135,2021,University of Illinois,Computer Science & Engineering,C,"""79.1""",100.0
9460,Daniel Mckinney,0,1994-09-19,29,67.0,160,2016,University of Alabama,Computer Science & Engineering,B,"""73.4""",72.9
9461,William Stokes,2,1998-09-22,25,69.0,150,2020,Brown University,Computer Science & Engineering,C,"""96.9""",87.0
9462,Margaret Scott,1,1998-04-29,25,63.0,125,2020,University of Michigan (boo),ACMS,A,"""75.2""",93.6
9463,Megan Garcia,2,2000-09-16,23,170.0,140,2022,Marquette University,Computer Science & Engineering,Pass,"""97.1""",81.9
9464,Jonathan Webster,0,2002-08-06,21,67.0,165,2024,University of Notre Dame,Computer Science & Engineering,B,"""91.8""",83.7
9465,Hayley Webb,2,1992-11-17,31,69.0,160,2014,University of Wisconsin,Computer Science & Engineering,C,"""84.4""",78.5
9466,Cheyenne Davis,1,1998-03-24,25,62.0,115,2020,UMBC,Computer Science & Engineering,Fail,"""93.4""",81.8
9467,Kimberly Miranda,1,2003-01-15,20,64.0,115,2025,Duke University,Computer Science & Engineering,B,"""99.6""",91.2
9468,Benjamin Martinez,0,1993-07-08,30,69.0,170,2015,UMBC,ACMS,,"""91.6""",82.7
9469,Stephen Olson,0,2003-03-05,20,69.0,165,2025,Harvard University,Computer Science & Engineering,A,"""80.3""",94.8
9470,Malik Gonzalez,0,2001-03-18,22,70.0,160,2023,Brown University,Computer Science & Engineering,B,"""76.2""",77.9
9471,Cheryl Lynch,1,1999-09-03,24,66.0,110,2021,Purdue,ACMS,,"""75.5""",77.8
9472,Sean Cook,0,2000-10-25,23,67.0,165,2022,Holy Cross College,Computer Science & Engineering,A,"""78.0""",87.3
9473,Hannah Smith,1,1992-12-26,31,65.0,125,2014,University of Michigan (boo),Computer Science & Engineering,B,"""85.4""",87.2
9474,Bethany Lamb,1,1999-01-17,24,66.0,125,2021,University of Wisconsin,Computer Science & Engineering,C,"""97.3""",77.0
9475,Carl Lopez,0,1992-09-10,31,70.0,175,2014,University of Nebraska,Computer Science & Engineering,Pass,"""89.5""",69.5
9476,Robert Gates,2,2001-08-04,22,59.0,120,2023,Harvard University,Computer Science & Engineering,A,"""76.1""",79.9
9477,Richard Bailey,0,2000-10-21,23,67.0,150,2022,University of Notre Dame,Computer Science & Engineering,B,"""92.2""",85.8
9478,Samuel Hill,2,2003-08-26,20,68.0,170,2025,Brown University,Computer Science & Engineering,D,"""89.7""",88.0
9479,Leslie Schaefer,1,1997-06-18,26,63.0,105,2019,St. Joseph's University,Computer Science & Engineering,Pass,"""85.6""",99.0
9480,Misty Franklin,1,2000-05-07,23,62.0,125,2022,UCLA,Computer Science & Engineering,C,"""96.4""",85.4
9481,Sherri Jensen,1,1992-12-08,31,64.0,135,2014,Purdue,Computer Science & Engineering,C,"""91.7""",75.2
9482,Gary Harris,2,2001-02-05,22,64.0,130,2023,USC,Computer Science & Engineering,B,"""88.7""",78.0
9483,Carolyn Wheeler,2,1999-07-24,24,65.0,125,2021,Holy Cross College,Theology,,"""90.8""",96.5
9484,Joy Schroeder,1,2003-04-11,20,63.0,125,2025,MIT,Theology,,"""79.4""",84.0
9485,Yvette Stone,1,1997-06-11,26,62.0,130,2019,University of Florida,Computer Science & Engineering,D,"""91.5""",84.1
9486,Jordan Burke,0,1995-06-06,28,68.0,170,2017,University of Notre Dame,Computer Science & Engineering,B,"""68.3""",67.2
9487,Mark Dunn,2,1995-10-26,28,167.0,120,2017,UMBC,Theology,,"""81.8""",73.2
9488,James Rodriguez,2,2001-03-16,22,68.0,150,2023,St. Joseph's University,Computer Science & Engineering,Pass,"""96.6""",91.5
9489,Cory Lloyd,2,2002-12-25,21,63.0,125,2024,University of Florida,Theology,,"""76.1""",81.3
9490,Erica Clark,1,2000-05-25,23,66.0,140,2022,University of Illinois,Theology,,"""68.0""",83.3
9491,Kim Stone,2,1997-02-02,26,160.0,115,2019,Marquette University,ACMS,,"""86.0""",79.7
9492,Patricia West,1,1996-10-14,27,65.0,115,2018,Stanford University,Computer Science & Engineering,A,"""89.3""",61.8
9493,Amanda Elliott,1,2000-05-09,23,64.0,130,2022,University of Wisconsin,Electrical Engineering,B,"""85.3""",88.3
9494,Jennifer Harris,2,1998-02-18,25,68.0,165,2020,University of Michigan (boo),Computer Science & Engineering,D,"""100""",100.0
9495,Timothy Miller,2,2003-03-09,20,59.0,95,2025,Duke University,Computer Science & Engineering,D,"""85.2""",81.0
9496,Alyssa Wilson,1,1995-07-27,28,66.0,115,2017,USC,Computer Science & Engineering,D,"""87.2""",89.3
9497,Cameron Small,0,2002-03-20,21,68.0,140,2024,University of Alabama,ACMS,,"""89.3""",86.6
9498,Susan Bowman,2,2001-10-27,22,65.0,130,2023,University of Nebraska,Theology,,"""78.8""",97.9
9499,Jonathan Wallace,0,1994-07-08,29,68.0,165,2016,University of Michigan (boo),Computer Science & Engineering,B,"""100""",79.2
9500,Gloria Alexander,1,1996-02-19,27,63.0,125,2018,University of Nebraska,Electrical Engineering,,"""81.5""",96.0
9501,Felicia Gamble,1,1994-08-28,29,65.0,130,2016,USC,ACMS,,"""100""",86.8
9502,Edward Hill,2,1992-04-06,31,67.0,170,2014,Harvard University,Computer Science & Engineering,D,"""81.6""",80.1
9503,Michelle Ramirez,2,1995-10-21,28,62.0,125,2017,University of Nebraska,Electrical Engineering,,"""92.0""",81.2
9504,Lacey Mullen,1,1995-10-06,28,61.0,110,2017,University of Michigan (boo),Math,,"""85.1""",77.8
9505,Brittany Murillo,2,1996-09-02,27,72.0,165,2018,University of Florida,Theology,B,"""93.2""",95.8
9506,Alec Houston,0,1999-12-03,24,66.0,160,2021,University of Wisconsin,Math,D,"""80.0""",100.0
9507,Elizabeth Morris,1,1996-05-21,27,63.0,125,2018,MIT,Computer Science & Engineering,B,"""83.6""",88.6
9508,Mark Brooks,0,1996-11-13,27,68.0,145,2018,USC,Computer Science & Engineering,A,"""100""",83.1
9509,Maria Bird,1,2000-04-05,23,57.0,115,2022,Michigan State University,Computer Science & Engineering,C,"""87.9""",77.0
9510,Sandra Garcia,1,2000-08-08,23,58.0,95,2022,University of Michigan (boo),Computer Science & Engineering,B,"""84.5""",90.1
9511,Elijah Diaz,0,1999-06-06,24,72.0,170,2021,Holy Cross College,Computer Science & Engineering,A,"""80.5""",92.4
